Nom;Section;operations;Poids;Montant
1-VIANDE TAJINE;"1-VIANDE ROUGE  
";6;5,49;603,9
2-VIANDE HACHEE NATURE  ;"1-VIANDE ROUGE  
";CODE_COMM;--> AHMED;
48561;26/07/2024;608;PASTELLE/ROULEAUX PLT;
48561;26/07/2024;CODE_COMM;--> GR N° 4;
48562;26/07/2024;70222;SANDWICH VIANDE;
48562;26/07/2024;70240;FRITE;
48563;26/07/2024;4;VIANDE HACHEE;
48564;26/07/2024;9053;TACOS VIANDE HACHEE;
48564;26/07/2024;2376;--> TACOS;
48564;26/07/2024;10000;--> BIGGY;
48564;26/07/2024;CODE_COMM;--> ss fromage;
48565;26/07/2024;9053;TACOS VIANDE HACHEE;
48565;26/07/2024;2376;--> TACOS;
48565;26/07/2024;10000;--> BIGGY;
48566;26/07/2024;5617;TACOS POULET;
48566;26/07/2024;2376;--> TACOS;
48566;26/07/2024;4360;--> ALGERIENNE;
48566;26/07/2024;70240;FRITE;
48566;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48567;26/07/2024;9053;TACOS VIANDE HACHEE;
48567;26/07/2024;2376;--> TACOS;
48567;26/07/2024;4360;--> ALGERIENNE;
48567;26/07/2024;70240;FRITE;
48568;26/07/2024;5617;TACOS POULET;
48568;26/07/2024;2376;--> TACOS;
48568;26/07/2024;10000;--> BIGGY;
48568;26/07/2024;5617;TACOS POULET;
48568;26/07/2024;2376;--> TACOS;
48568;26/07/2024;10000;--> BIGGY;
48568;26/07/2024;70221;SANDWICH POULET;
48568;26/07/2024;70240;FRITE;
48568;26/07/2024;7631;SODA 1L/EAU GAZEUSE 1L;
48568;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48569;26/07/2024;5617;TACOS POULET;
48569;26/07/2024;2376;--> TACOS;
48569;26/07/2024;4360;--> ALGERIENNE;
48569;26/07/2024;70240;FRITE;
48570;26/07/2024;175;COUT GRILLADE;
48570;26/07/2024;601;FILET DE POULET NATURE;
48571;26/07/2024;9053;TACOS VIANDE HACHEE;
48571;26/07/2024;2376;--> TACOS;
48571;26/07/2024;4360;--> ALGERIENNE;
48571;26/07/2024;9053;TACOS VIANDE HACHEE;
48571;26/07/2024;2376;--> TACOS;
48571;26/07/2024;4360;--> ALGERIENNE;
48572;26/07/2024;3589;TACOS SAUCISSE;
48572;26/07/2024;2376;--> TACOS;
48572;26/07/2024;4360;--> ALGERIENNE;
48572;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48573;26/07/2024;626;FOIE DE POULET;
48573;26/07/2024;3;SAUCISSE BF;
48574;26/07/2024;4;VIANDE HACHEE;
48574;26/07/2024;3;SAUCISSE BF;
48575;26/07/2024;175;COUT GRILLADE;
48575;26/07/2024;4;VIANDE HACHEE;
48575;26/07/2024;CODE_COMM;--> GR N° 24;
48575;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48576;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48576;26/07/2024;616;BOULETTE FROMAGE PLT;
48577;26/07/2024;9053;TACOS VIANDE HACHEE;
48577;26/07/2024;2376;--> TACOS;
48577;26/07/2024;10000;--> BIGGY;
48577;26/07/2024;70240;FRITE;
48578;26/07/2024;70221;SANDWICH POULET;
48578;26/07/2024;70240;FRITE;
48579;26/07/2024;611;NUGGETS;
48579;26/07/2024;614;CORDON BLEU;
48579;26/07/2024;614;CORDON BLEU;
48580;26/07/2024;70238;TAGINE CERVEILLE;
48580;26/07/2024;70223;SANDWICH SAUCISSE;
48580;26/07/2024;70240;FRITE;
48580;26/07/2024;3740;RIZ;
48580;26/07/2024;CODE_COMM;--> saucisse epinard;
48581;26/07/2024;501;EDAM;
48581;26/07/2024;4;VIANDE HACHEE;
48582;26/07/2024;33;EPAULE AGN;
48582;26/07/2024;615;SAUCIISE DE PLT;
48582;26/07/2024;501;EDAM;
48583;26/07/2024;3740;RIZ;
48583;26/07/2024;70240;FRITE;
48584;26/07/2024;501;EDAM;
